variable,years,short_desc,long_desc,sources,category,plaintext_cite,bibtex_cite,plaintext_cite2,bibtex_cite2,plaintext_cite3,bibtex_cite3,plaintext_cite4,bibtex_cite4,plaintext_cite5,bibtex_cite5
com_judiciary_156,1979-2018,Indicator for whether the congressperson is a member of the judiciary committee.,Indicator for whether the congressperson is a member of the house judiciary committee. This is committee code 156 from Stewart and Woon.,"Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
",Government,"Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
","@article{stewart2017congressional,
  title={Congressional committee assignments, 103rd to 114th congresses, 1993--2017},
  author={Stewart, Charles and Woon, Jonathan},
  journal={Senate, June},
  volume={24},
  year={2017}
}",NA,NA,NA,NA,NA,NA,NA,NA
com_merch_marine_160,1979-2018,Indicator for whether the congressperson is a member of the merchant marine and fisheries committee.,Indicator for whether the congressperson is a member of the merchant marine and fisheries committee. This committee only existed during the 103rd Congress. This is committee code 160 from Stewart and Woon.,"Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
",Government,"Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
","@article{stewart2017congressional,
  title={Congressional committee assignments, 103rd to 114th congresses, 1993--2017},
  author={Stewart, Charles and Woon, Jonathan},
  journal={Senate, June},
  volume={24},
  year={2017}
}",NA,NA,NA,NA,NA,NA,NA,NA
com_nat_resource_164,1979-2018,Indicator for whether the congressperson is a member of the natural resources committee.,"Indicator for whether the congressperson is a member of the natural resources committee. This committee was originally named the natural resources committee (during the 103rd Congress), but then its name was changed to the resources committee (between the 104th and 109th Congress). Then, its name was changed back to the natural resources committee (during the 110th Congress).  This is committee code 164 from Stewart and Woon.","Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
",Government,"Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
","@article{stewart2017congressional,
  title={Congressional committee assignments, 103rd to 114th congresses, 1993--2017},
  author={Stewart, Charles and Woon, Jonathan},
  journal={Senate, June},
  volume={24},
  year={2017}
}",NA,NA,NA,NA,NA,NA,NA,NA
com_mail_civserv_168,1979-2018,Indicator for whether the congressperson is a member of the post office and civil service committee.,Indicator for whether the congressperson is a member of the post office and civil service committee. This committee only existed during the 103rd Congress. This is committee code 168 from Stewart and Woon.,"Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
",Government,"Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
","@article{stewart2017congressional,
  title={Congressional committee assignments, 103rd to 114th congresses, 1993--2017},
  author={Stewart, Charles and Woon, Jonathan},
  journal={Senate, June},
  volume={24},
  year={2017}
}",NA,NA,NA,NA,NA,NA,NA,NA
com_infrastructure_173,1979-2018,Indicator for whether the congressperson is a member of the transportation and infrastructure committee.,"Indicator for whether the congressperson is a member of the transportation and infrastructure committee. This committee was originally named the public works and transportation committee (during the 103rd Congress), but then its name was changed to the transportation and infrastructure committee (during the 104th Congress). This is committee code 173 from Stewart and Woon.","Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
",Government,"Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
","@article{stewart2017congressional,
  title={Congressional committee assignments, 103rd to 114th congresses, 1993--2017},
  author={Stewart, Charles and Woon, Jonathan},
  journal={Senate, June},
  volume={24},
  year={2017}
}",NA,NA,NA,NA,NA,NA,NA,NA
com_rules_176,1979-2018,Indicator for whether the congressperson is a member of the rules committee.,Indicator for whether the congressperson is a member of the rules committee. This is committee code 176 from Stewart and Woon.,"Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
",Government,"Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
","@article{stewart2017congressional,
  title={Congressional committee assignments, 103rd to 114th congresses, 1993--2017},
  author={Stewart, Charles and Woon, Jonathan},
  journal={Senate, June},
  volume={24},
  year={2017}
}",NA,NA,NA,NA,NA,NA,NA,NA
com_science_182,1979-2018,Indicator for whether the congressperson is a member of the science and technology committee.,"Indicator for whether the congressperson is a member of the science and technology committee. This committee was originally named the science, space, and technology committee (during the 103rd Congress), but then its name was changed to the science committee (between the 104th and 109th Congress), and then it was changed to the “science and technology” committee (starting in the 110th Congress). This is committee code 182 from Stewart and Woon.","Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
",Government,"Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
","@article{stewart2017congressional,
  title={Congressional committee assignments, 103rd to 114th congresses, 1993--2017},
  author={Stewart, Charles and Woon, Jonathan},
  journal={Senate, June},
  volume={24},
  year={2017}
}",NA,NA,NA,NA,NA,NA,NA,NA
com_small_biz_184,1979-2018,Indicator for whether the congressperson is a member of the small business committee.,Indicator for whether the congressperson is a member of the small business committee. This is committee code 184 from Stewart and Woon.,"Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
",Government,"Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
","@article{stewart2017congressional,
  title={Congressional committee assignments, 103rd to 114th congresses, 1993--2017},
  author={Stewart, Charles and Woon, Jonathan},
  journal={Senate, June},
  volume={24},
  year={2017}
}",NA,NA,NA,NA,NA,NA,NA,NA
com_off_standards_186,1979-2018,Indicator for whether the congressperson is a member of the standards of the official count committee.,Indicator for whether the congressperson is a member of the standards of official conduct committee. This is committee code 186 from Stewart and Woon.,"Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
",Government,"Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
","@article{stewart2017congressional,
  title={Congressional committee assignments, 103rd to 114th congresses, 1993--2017},
  author={Stewart, Charles and Woon, Jonathan},
  journal={Senate, June},
  volume={24},
  year={2017}
}",NA,NA,NA,NA,NA,NA,NA,NA
com_va_192,1979-2018,Indicator for whether the congressperson is a member of the standards of the veterans affairs committee.,Indicator for whether the congressperson is a member of the veterans affairs committee. This is committee code 192 from Stewart and Woon.,"Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
",Government,"Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
","@article{stewart2017congressional,
  title={Congressional committee assignments, 103rd to 114th congresses, 1993--2017},
  author={Stewart, Charles and Woon, Jonathan},
  journal={Senate, June},
  volume={24},
  year={2017}
}",NA,NA,NA,NA,NA,NA,NA,NA
com_ways_mean_196,1979-2018,Indicator for whether the congressperson is a member of the standards of the ways and means committee.,Indicator for whether the congressperson is a member of the ways and means committee. This is committee code 196 from Stewart and Woon.,"Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
",Government,"Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
","@article{stewart2017congressional,
  title={Congressional committee assignments, 103rd to 114th congresses, 1993--2017},
  author={Stewart, Charles and Woon, Jonathan},
  journal={Senate, June},
  volume={24},
  year={2017}
}",NA,NA,NA,NA,NA,NA,NA,NA
com_intel_242,1993-2018,Indicator for whether the congressperson is a member of the permanent select committee on intelligence.,Indicator for whether the congressperson is a member of the permanent select committee on intelligence. This is committee code 242 from Stewart and Woon.,"Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
",Government,"Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
","@article{stewart2017congressional,
  title={Congressional committee assignments, 103rd to 114th congresses, 1993--2017},
  author={Stewart, Charles and Woon, Jonathan},
  journal={Senate, June},
  volume={24},
  year={2017}
}",NA,NA,NA,NA,NA,NA,NA,NA
com_home_sec_251,1993-2018,Indicator for whether the congressperson is a member of the homeland security committee.,Indicator for whether the congressperson is a member of the homeland security committee. This is committee code 251 from Stewart and Woon.,"Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
",Government,"Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
","@article{stewart2017congressional,
  title={Congressional committee assignments, 103rd to 114th congresses, 1993--2017},
  author={Stewart, Charles and Woon, Jonathan},
  journal={Senate, June},
  volume={24},
  year={2017}
}",NA,NA,NA,NA,NA,NA,NA,NA
com_energy_252,1993-2018,"Indicator for whether the congressperson is a member of the select committee on energy independence and global warming.
",Indicator for whether the congressperson is a member of the select committee on energy independence and global warming. This select committee only existed during the 110th and 11th Congress. This is committee code 252 from Stewart and Woon.,"Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
",Government,"Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
","@article{stewart2017congressional,
  title={Congressional committee assignments, 103rd to 114th congresses, 1993--2017},
  author={Stewart, Charles and Woon, Jonathan},
  journal={Senate, June},
  volume={24},
  year={2017}
}",NA,NA,NA,NA,NA,NA,NA,NA
com_voting_2007_253,1993-2018,"Indicator for whether the congressperson is a member of the select committee on investigating the voting irregularities of August 2, 2007.
","Indicator for whether the congressperson is a member of the select committee on investigating the voting irregularities of August 2, 2007. This select committee only existed during the 110th Congress. This is committee code 253 from Stewart and Woon.","Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
",Government,"Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
","@article{stewart2017congressional,
  title={Congressional committee assignments, 103rd to 114th congresses, 1993--2017},
  author={Stewart, Charles and Woon, Jonathan},
  journal={Senate, June},
  volume={24},
  year={2017}
}",NA,NA,NA,NA,NA,NA,NA,NA
com_benghazi_299,1993-2018,Indicator for whether the congressperson is a member of the select committee on the events surrounding the 2012 terrorist attack on Benghazi.,Indicator for whether the congressperson is a member of select committee on the events surrounding the 2012 terrorist attack on Benghazi. This select committee only existed during the 113th and 114th Congress. This is committee code 299 from Stewart and Woon.,"Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
",Government,"Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
","@article{stewart2017congressional,
  title={Congressional committee assignments, 103rd to 114th congresses, 1993--2017},
  author={Stewart, Charles and Woon, Jonathan},
  journal={Senate, June},
  volume={24},
  year={2017}
}",NA,NA,NA,NA,NA,NA,NA,NA
com_library_500,1993-2018,Indicator for whether the congressperson is a member of the joint committee on the library.,Indicator for whether the congressperson is a member of joint committee on the library. This is committee code 500 from Stewart and Woon.,"Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
",Government,"Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
","@article{stewart2017congressional,
  title={Congressional committee assignments, 103rd to 114th congresses, 1993--2017},
  author={Stewart, Charles and Woon, Jonathan},
  journal={Senate, June},
  volume={24},
  year={2017}
}",NA,NA,NA,NA,NA,NA,NA,NA
com_printing_501,1993-2018,Indicator for whether the congressperson is a member of the joint committee on printing.,Indicator for whether the congressperson is a member of joint committee on printing. This is committee code 501 from Stewart and Woon.,"Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
",Government,"Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
","@article{stewart2017congressional,
  title={Congressional committee assignments, 103rd to 114th congresses, 1993--2017},
  author={Stewart, Charles and Woon, Jonathan},
  journal={Senate, June},
  volume={24},
  year={2017}
}",NA,NA,NA,NA,NA,NA,NA,NA
com_taxation_503,1993-2018,Indicator for whether the congressperson is a member of the joint committee on taxation.,Indicator for whether the congressperson is a member of the joint committee on taxation. This is committee code 503 from Stewart and Woon.,"Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
",Government,"Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
","@article{stewart2017congressional,
  title={Congressional committee assignments, 103rd to 114th congresses, 1993--2017},
  author={Stewart, Charles and Woon, Jonathan},
  journal={Senate, June},
  volume={24},
  year={2017}
}",NA,NA,NA,NA,NA,NA,NA,NA
com_economic_507,1993-2018,Indicator for whether the congressperson is a member of the joint economic committee.,Indicator for whether the congressperson is a member of the joint committee on joint economic committee. This is committee code 507 from Stewart and Woon.,"Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
",Government,"Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
","@article{stewart2017congressional,
  title={Congressional committee assignments, 103rd to 114th congresses, 1993--2017},
  author={Stewart, Charles and Woon, Jonathan},
  journal={Senate, June},
  volume={24},
  year={2017}
}",NA,NA,NA,NA,NA,NA,NA,NA
com_def_reduct_511,1993-2018,Indicator for whether the congressperson is a member of the joint select committee on deficit reduction.,Indicator for whether the congressperson is a member of the joint select committee on deficit reduction. This is committee code 511 from Stewart and Woon.,"Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
",Government,"Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
","@article{stewart2017congressional,
  title={Congressional committee assignments, 103rd to 114th congresses, 1993--2017},
  author={Stewart, Charles and Woon, Jonathan},
  journal={Senate, June},
  volume={24},
  year={2017}
}",NA,NA,NA,NA,NA,NA,NA,NA
com_congress_org_522,1993-2018,Indicator for whether the congressperson is a member of the Organization of Congress (joint).,Indicator for whether the congressperson is a member of the Organization of Congress (joint). This is committee code 522 from Stewart and Woon.,"Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
",Government,"Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
","@article{stewart2017congressional,
  title={Congressional committee assignments, 103rd to 114th congresses, 1993--2017},
  author={Stewart, Charles and Woon, Jonathan},
  journal={Senate, June},
  volume={24},
  year={2017}
}",NA,NA,NA,NA,NA,NA,NA,NA
com_house_leadership_661,1993-2018,Indicator for whether the congressperson is a member of the House Leadership Committee.,Indicator for whether the congressperson is a member of the House Leadership Committee. This is committee code 661 from Stewart and Woon.,"Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
",Government,"Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
","@article{stewart2017congressional,
  title={Congressional committee assignments, 103rd to 114th congresses, 1993--2017},
  author={Stewart, Charles and Woon, Jonathan},
  journal={Senate, June},
  volume={24},
  year={2017}
}",NA,NA,NA,NA,NA,NA,NA,NA
percent_white_pop,"2005-2011, 2013, 2015, 2017, 2019",Percentage of white population.,"Percentage of ndividuals identifying as white, including those who identify as white alone or in combination with one or more other races.",U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,demographics,U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,"@misc{acs2022,
  author = {{U.S. Census Bureau}},
  title = {2009-2019 American Community Survey 1-year Estimates},
  year = {2022},
  note = {Retrieved from the Census Bureau Data API},
}",NA,NA,NA,NA,NA,NA,NA,NA
percent_black_pop,"2005-2011, 2013, 2015, 2017, 2019",Percentage of black population.,"Percentage of individuals identifying as black, including those identifying as Black or African American alone or in combination with one or more other races.",U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,demographics,U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,"@misc{acs2022,
  author = {{U.S. Census Bureau}},
  title = {2009-2019 American Community Survey 1-year Estimates},
  year = {2022},
  note = {Retrieved from the Census Bureau Data API},
}",NA,NA,NA,NA,NA,NA,NA,NA
percent_amerindian_pop,"2005-2011, 2013, 2015, 2017, 2019",Percentage of American Indian population.,"Percentage of individuals identifying as American Indian, including those identifying as American Indian alone or in combination with one or more other races.",U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,demographics,U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,"@misc{acs2022,
  author = {{U.S. Census Bureau}},
  title = {2009-2019 American Community Survey 1-year Estimates},
  year = {2022},
  note = {Retrieved from the Census Bureau Data API},
}",NA,NA,NA,NA,NA,NA,NA,NA
percent_asian_pop,"2005-2011, 2013, 2015, 2017, 2019",Percentage Asian population,"Percentage of individuals identifying as Asian, including those identifying as Asian alone or in combination with one or more other races.",U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,demographics,U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,"@misc{acs2022,
  author = {{U.S. Census Bureau}},
  title = {2009-2019 American Community Survey 1-year Estimates},
  year = {2022},
  note = {Retrieved from the Census Bureau Data API},
}",NA,NA,NA,NA,NA,NA,NA,NA
percent_hawaii_pacisland_pop,"2005-2011, 2013, 2015, 2017, 2019",Percentage Native Hawaiian or Pacific Islander population.,"Percentage of individuals identifying as Native Hawaiian or Pacific Islander, including those identifying as Native Hawaiian or Pacific Islander alone or in combination with one or more other races.",U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,demographics,U.S. Census Bureau. (2022). 2009-2019 American Community Survey 1-year Estimates. Retrieved from the Census Bureau Data API.,"@misc{acs2022,
  author = {{U.S. Census Bureau}},
  title = {2009-2019 American Community Survey 1-year Estimates},
  year = {2022},
  note = {Retrieved from the Census Bureau Data API},
}",NA,NA,NA,NA,NA,NA,NA,NA
