rowid,id,age,occup,gender,purp,vehic,freqpweek,OD_dist,travtime,reason,own_car,own_motob,own_ebike,own_bike,opinion_car,opinion_motob,opinion_ebike,opinion_bike,opinion_taxi,opinion_bus,opinion_ban
45,77575347,18_25,student,male,education,moto,11_13,2.564544062,20,cost convinient,0,3,0,0,neutral,bad,neutral,neutral,neutral,neutral,disagree
46,77575494,18_25,student,male,education,moto,11_13,4.059688023,25,cost convinient,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree
47,77575570,18_25,student,male,education,walk,14_16,0.147501659,15,convinient other,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,agree
48,77575757,18_25,student,male,work,moto,11_13,3.643345717,15,cost convinient,0,2,0,0,neutral,bad,neutral,neutral,neutral,neutral,disagree
49,77575891,26_35,private,female,work,moto,17_20,2.164105692,10,convinient,0,1,0,0,neutral,bad,neutral,neutral,neutral,neutral,disagree
50,77575957,26_35,private,male,work,moto,11_13,0.990527458,10,cost,0,1,0,0,neutral,bad,neutral,neutral,neutral,neutral,disagree
51,77576261,26_35,private,male,work,moto,11_13,0.558614598,10,cost,0,4,0,0,good,good,good,good,good,good,disagree
52,77576649,18_25,student,male,visit,moto,11_13,4.353463572,10,cost,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral
53,77576852,36_55,private,male,work,moto,11_13,3.741977247,20,cost convinient,1,2,0,1,good,good,good,good,good,good,strongagree
54,77577021,36_55,private,male,work,moto,11_13,6.702196811,30,cost convinient,1,2,0,1,good,good,good,good,good,good,neutral
55,77577202,less_18,student,female,education,bike,11_13,1.061585583,15,cost convinient,1,2,0,1,good,good,good,good,good,good,strongagree
56,77577365,26_35,private,female,work,moto,11_13,0.468825599,10,cost,0,1,0,0,good,good,good,good,good,good,neutral
57,77577637,18_25,student,female,education,walk,11_13,1.045154866,15,cost convinient,0,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral
58,77578080,18_25,student,female,education,walk,11_13,0.443276025,10,cost,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,agree
59,77578309,18_25,student,female,education,moto,11_13,5.183553263,20,cost convinient,0,3,0,0,good,good,good,good,good,good,disagree
60,77578377,18_25,student,male,shopping,ebike,11_13,0.22646219,10,cost convinient,0,0,4,0,good,good,good,good,good,good,disagree
61,77578618,18_25,student,male,visit,moto,11_13,0.587519402,10,cost convinient,0,5,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree
62,77717752,36_55,state,female,work,moto,8_10,4.768314537,20,convinient timesaving,0,2,1,0,verybad,verybad,neutral,neutral,bad,bad,agree
63,77717479,36_55,retired,male,caring,moto,1_3,6.71165056,20,convinient,0,3,0,0,bad,bad,neutral,neutral,bad,bad,agree
64,77716338,56_75,retired,female,shopping,walk,8_10,0.077741532,3,convinient,0,2,0,0,verybad,verybad,good,good,verybad,verybad,neutral
65,77715685,26_35,state,female,work,car,8_10,1.776507661,7,convinient,2,1,0,0,neutral,bad,good,good,bad,bad,agree
66,77718052,36_55,state,female,work,moto,8_10,1.119970939,5,cost convinient timesaving,1,2,0,0,bad,bad,neutral,neutral,bad,bad,disagree
67,84750088,26_35,private,female,work,moto,4_7,2.521188912,15,convinient timesaving,0,2,0,1,bad,bad,neutral,neutral,bad,bad,agree
68,84734988,18_25,private,female,caring,walk,4_7,1.14512004,5,cost,0,3,0,0,verygood,good,good,good,good,good,neutral
69,79374778,18_25,student,male,education,moto,11_13,0.837626611,15,cost convinient,0,2,0,0,good,good,good,good,good,good,disagree
70,79371747,18_25,student,male,visit,moto,11_13,1.074388716,20,cost convinient,0,2,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree
71,79372401,18_25,student,male,work,moto,11_13,1.909366243,15,cost,0,3,0,0,good,good,good,good,good,good,disagree
72,79372998,18_25,student,male,work,moto,11_13,12.28459137,60,cost,0,1,0,0,bad,bad,bad,bad,bad,bad,neutral
73,79373450,18_25,student,male,education,moto,11_13,0.633528802,5,cost,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree
74,79373851,18_25,student,female,visit,moto,11_13,14.07201721,55,cost convinient,0,1,0,0,good,good,good,good,good,good,disagree
75,79374244,18_25,student,male,education,bus,11_13,1.740100415,30,cost,0,2,0,0,neutral,neutral,neutral,neutral,neutral,neutral,agree
76,79375504,18_25,student,male,education,walk,11_13,1.010733618,20,timesaving,0,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree
77,79376418,18_25,student,female,education,walk,11_13,0.838043175,15,cost convinient,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree
78,79377477,18_25,student,female,visit,moto,11_13,1.872288293,10,cost convinient,0,5,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral
79,79377988,18_25,student,female,education,moto,11_13,10.34001273,45,cost convinient,0,4,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree
80,79378798,18_25,student,male,work,moto,11_13,0.352294324,3,cost convinient,1,1,0,0,good,good,good,good,good,good,agree
81,79379150,18_25,student,female,education,moto,17_20,2.674300498,20,convinient,0,4,0,0,neutral,bad,neutral,neutral,neutral,neutral,disagree
82,79379330,18_25,student,male,work,moto,8_10,0.965739309,5,convinient,0,3,0,0,verybad,verybad,neutral,good,bad,bad,neutral
83,79379493,18_25,student,male,education,moto,11_13,5.932462758,10,cost,0,1,0,0,good,good,good,good,good,good,neutral
84,79380073,18_25,student,male,visit,bus,11_13,2.277913863,30,cost convinient,0,1,1,0,good,good,good,good,good,good,disagree
85,79380287,18_25,private,male,work,moto,17_20,6.435705759,20,other,0,3,0,0,neutral,bad,neutral,neutral,neutral,neutral,neutral
86,79380611,18_25,student,female,education,moto,8_10,0.391907057,5,cost convinient,0,2,1,0,bad,bad,good,good,bad,bad,neutral
87,79380702,18_25,student,female,shopping,moto,11_13,0.816531933,15,cost convinient,0,3,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree
88,79381218,18_25,student,female,shopping,bus,11_13,5.652930363,60,cost convinient,0,2,0,1,good,good,good,good,good,good,disagree
89,79381768,18_25,student,female,education,moto,11_13,1.948695934,15,convinient timesaving,0,4,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree
90,79381992,18_25,student,female,education,moto,17_20,2.541216059,5,other,0,1,1,0,neutral,bad,bad,neutral,neutral,neutral,disagree
91,79382065,18_25,student,male,education,moto,4_7,6.851395582,40,cost convinient timesaving,0,2,0,0,verybad,verybad,bad,bad,verybad,verybad,neutral
92,79382449,18_25,student,male,work,moto,11_13,7.574174961,30,cost convinient,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral
93,79383012,18_25,student,male,education,ebike,4_7,0.50894995,10,convinient,0,1,3,0,verybad,verybad,bad,bad,verybad,verybad,disagree
94,79383069,18_25,student,female,education,moto,17_20,2.336796229,10,timesaving,0,2,0,0,neutral,bad,neutral,neutral,neutral,neutral,disagree
95,79383196,18_25,student,female,shopping,taxi,1_3,7.800988523,30,convinient timesaving,0,0,0,1,good,good,good,good,good,good,disagree
96,79383596,18_25,student,male,visit,moto,1_3,3.257542435,15,cost convinient,0,1,0,0,good,good,good,good,good,good,neutral
97,79384113,18_25,student,female,visit,bus,1_3,1.95910357,30,cost,0,0,0,0,bad,bad,neutral,neutral,bad,bad,agree
98,79384192,18_25,student,female,education,moto,17_20,2.235377664,17,other,0,1,0,0,neutral,bad,bad,bad,bad,bad,neutral
99,79384193,18_25,student,female,education,walk,11_13,0.434161359,10,cost convinient,0,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral
100,79384959,18_25,student,female,work,walk,4_7,0.411706734,20,convinient,0,0,2,0,bad,bad,neutral,bad,bad,bad,disagree
101,79385368,18_25,student,female,education,moto,17_20,2.45594759,7,other,0,3,0,0,neutral,bad,neutral,neutral,neutral,neutral,disagree
102,79386486,18_25,student,female,work,walk,4_7,1.191948285,20,convinient,0,1,0,0,bad,bad,neutral,neutral,bad,bad,neutral
103,79386830,18_25,student,male,work,moto,17_20,8.931866083,30,other,0,2,0,0,neutral,bad,neutral,neutral,neutral,neutral,neutral
104,79909683,18_25,student,female,education,bus,14_16,8.30163327,30,convinient,0,1,0,0,neutral,bad,neutral,neutral,neutral,neutral,disagree
105,79910580,18_25,student,female,education,walk,17_20,0.984340209,10,other,0,0,0,0,neutral,bad,neutral,neutral,neutral,neutral,neutral
106,79910966,18_25,private,male,work,moto,17_20,3.430219189,15,other,0,5,0,0,bad,bad,bad,good,neutral,neutral,disagree
107,79911167,18_25,student,female,education,walk,17_20,0.370702564,10,cost convinient timesaving,0,0,0,0,bad,bad,neutral,neutral,neutral,neutral,neutral
108,79911597,18_25,student,female,education,walk,17_20,0.437372002,15,other,0,1,0,0,bad,bad,neutral,neutral,neutral,neutral,neutral
109,79911844,18_25,student,female,education,walk,14_16,0.435138594,10,other,0,3,0,0,bad,bad,neutral,neutral,neutral,neutral,disagree
110,80493284,18_25,student,female,education,moto,8_10,0,15,convinient,0,2,0,0,verygood,verygood,neutral,neutral,neutral,neutral,disagree
111,80493824,18_25,student,male,education,moto,4_7,4.520948746,20,cost convinient timesaving,0,2,1,0,verybad,verybad,verybad,verybad,verybad,verybad,strongagree
112,80552383,18_25,student,female,education,moto,8_10,3.976075532,20,other,0,4,0,0,good,neutral,neutral,neutral,neutral,neutral,disagree
113,80553415,18_25,student,male,education,walk,17_20,2.212404474,10,other,0,0,0,0,bad,bad,bad,bad,bad,bad,disagree
114,80554225,18_25,student,male,education,moto,17_20,2.182767195,5,timesaving,0,1,0,0,neutral,bad,bad,neutral,neutral,neutral,agree
115,80554779,18_25,student,male,education,moto,17_20,9.084036347,40,timesaving,0,3,0,0,bad,bad,good,good,good,good,disagree
116,80555916,18_25,student,female,education,moto,17_20,1.712327622,15,timesaving other,0,1,1,0,neutral,bad,good,good,neutral,neutral,disagree
117,80617227,18_25,student,male,education,moto,14_16,3.430941269,20,timesaving other,0,1,0,0,bad,bad,neutral,neutral,neutral,neutral,disagree
118,80617472,18_25,private,female,work,moto,17_20,5.332895809,20,convinient timesaving other,0,3,0,0,bad,verybad,bad,bad,bad,bad,disagree
119,80617570,26_35,private,male,work,moto,17_20,8.287683498,20,timesaving,0,3,0,0,neutral,bad,neutral,neutral,neutral,neutral,neutral
120,80617712,18_25,private,male,work,moto,17_20,5.013182935,25,other,0,1,0,0,verybad,verybad,neutral,neutral,neutral,neutral,disagree
121,80617828,18_25,private,male,work,moto,17_20,4.790083547,15,convinient,0,3,0,2,bad,neutral,neutral,neutral,neutral,neutral,neutral
122,80656114,18_25,private,male,work,moto,17_20,4.918041837,20,convinient timesaving,1,2,1,0,bad,bad,good,good,bad,bad,neutral
123,80800589,18_25,student,male,education,bus,17_20,5.003254525,20,cost,0,0,0,0,neutral,neutral,neutral,good,good,good,agree
124,81341883,18_25,student,female,work,moto,17_20,4.043334993,25,other,0,2,0,0,neutral,bad,bad,neutral,neutral,neutral,neutral
125,81342148,18_25,student,male,education,bus,4_7,8.268328817,45,cost,0,0,0,0,verybad,verybad,neutral,neutral,bad,bad,disagree
126,81342166,18_25,student,male,education,moto,17_20,1.695626532,15,other,0,3,2,0,bad,bad,neutral,neutral,neutral,neutral,neutral
127,81342716,18_25,private,male,work,moto,4_7,13.35469424,30,convinient,0,2,0,0,neutral,neutral,neutral,verygood,neutral,neutral,neutral
128,81343123,18_25,student,female,education,walk,17_20,0.105915411,1,other,0,1,0,0,neutral,bad,bad,bad,bad,neutral,agree
129,81343739,18_25,student,male,caring,walk,17_20,2.301743828,30,other,0,3,0,0,neutral,bad,bad,bad,bad,bad,agree
130,81343905,18_25,student,male,work,moto,4_7,2.592330076,30,convinient,0,1,0,0,neutral,neutral,verygood,verygood,neutral,neutral,agree
131,81344352,18_25,student,female,education,walk,4_7,0.355843126,15,convinient,0,1,1,0,good,neutral,good,good,neutral,neutral,disagree
132,81344356,18_25,student,male,work,moto,4_7,0.559991228,10,other,0,3,0,0,good,neutral,neutral,neutral,neutral,neutral,disagree
133,81344768,18_25,student,female,education,bike,4_7,0.937787217,20,cost convinient timesaving,0,1,0,0,neutral,neutral,good,good,bad,bad,agree
134,81344806,18_25,student,female,education,bus,17_20,2.513627323,20,other,0,0,0,0,bad,verybad,neutral,neutral,neutral,neutral,agree
135,81345160,18_25,student,female,education,moto,4_7,8.448789581,35,cost convinient,0,1,0,0,bad,bad,good,good,bad,bad,disagree
136,81433669,18_25,student,female,work,moto,17_20,1.958051236,10,other,0,5,0,0,neutral,bad,bad,bad,bad,bad,disagree
137,81440608,18_25,student,male,education,moto,17_20,1.61433624,5,convinient timesaving,0,2,0,0,neutral,bad,bad,neutral,neutral,neutral,neutral
138,81441599,18_25,student,male,education,walk,4_7,0.11839503,30,cost,0,1,0,0,bad,bad,bad,good,good,verygood,agree
139,81528684,26_35,fdi,female,work,moto,4_7,4.812270027,15,other,0,1,0,0,neutral,bad,bad,neutral,neutral,neutral,disagree
140,81529275,18_25,student,female,education,walk,17_20,0.072868237,3,convinient timesaving,0,1,0,0,neutral,bad,bad,bad,bad,bad,disagree
141,81530800,18_25,student,female,education,ebike,17_20,0.715077482,5,cost other,0,0,4,0,neutral,bad,bad,bad,neutral,neutral,disagree
142,81531443,18_25,student,female,education,walk,17_20,0.072801916,5,cost convinient timesaving,0,1,0,0,bad,bad,bad,neutral,neutral,neutral,disagree
143,81533660,18_25,student,female,education,walk,17_20,0.084013675,5,cost convinient timesaving,0,1,0,0,bad,bad,bad,neutral,neutral,neutral,neutral
144,81534183,18_25,student,female,education,ebike,17_20,0.730555962,5,convinient,0,1,3,0,bad,bad,bad,bad,bad,bad,disagree
145,81534667,18_25,student,female,work,walk,17_20,0.039477741,5,convinient,0,2,0,0,bad,bad,bad,neutral,neutral,neutral,neutral
146,81535494,18_25,student,female,education,moto,more_20,8.50444738,30,convinient,0,2,0,0,neutral,neutral,neutral,good,verybad,neutral,neutral
147,81536329,18_25,student,male,visit,moto,1_3,7.079183889,25,other,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral
148,81763698,18_25,student,female,education,walk,17_20,0.31852094,15,other,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,strongdisagree
149,81764513,less_18,student,female,shopping,moto,4_7,1.333674839,10,timesaving,0,3,0,1,neutral,neutral,neutral,neutral,neutral,neutral,neutral
150,81765385,18_25,student,female,education,moto,17_20,8.087709092,40,timesaving,0,3,0,0,bad,bad,bad,bad,bad,bad,neutral
151,81765982,18_25,student,female,education,walk,17_20,0.421063482,20,cost other,0,3,0,0,bad,bad,bad,bad,bad,bad,strongdisagree
152,84299671,18_25,student,female,visit,moto,1_3,5.760293992,20,cost convinient,0,2,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree
153,82817920,18_25,student,male,education,walk,4_7,2.929315846,15,cost convinient,0,2,0,0,verybad,verybad,neutral,neutral,verybad,verybad,neutral
154,82819211,18_25,private,male,shopping,car,4_7,5.199265356,50,convinient,1,2,1,0,bad,bad,neutral,neutral,bad,bad,agree
155,82819493,18_25,student,male,education,moto,4_7,5.962298409,30,convinient timesaving,0,2,0,0,bad,bad,bad,neutral,bad,bad,disagree
156,82820234,18_25,student,male,education,walk,4_7,0.133419104,15,timesaving,0,2,0,0,verybad,verybad,bad,neutral,verybad,verybad,neutral
157,82864675,26_35,private,male,work,moto,4_7,2.473310763,15,convinient,0,2,0,0,neutral,neutral,good,good,bad,bad,neutral
158,82865658,18_25,student,male,education,walk,4_7,0.446877575,7,cost timesaving,0,0,0,0,bad,bad,bad,bad,bad,bad,disagree
159,82866648,18_25,student,male,education,walk,4_7,0.462957456,8,convinient,0,4,0,0,bad,bad,bad,verygood,bad,bad,disagree
160,82867683,26_35,state,female,work,moto,4_7,1.158994539,7,convinient,0,2,0,0,neutral,bad,neutral,good,bad,bad,disagree
161,84091586,26_35,private,female,work,moto,4_7,4.862133632,30,other,0,4,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree
162,83830859,18_25,student,male,work,moto,4_7,1.930676523,10,convinient,0,1,0,0,neutral,neutral,neutral,neutral,bad,bad,agree
163,83498806,26_35,fdi,female,work,walk,14_16,10.93674157,20,convinient,0,3,1,0,bad,bad,good,good,neutral,neutral,disagree
164,83500064,26_35,private,male,work,moto,8_10,1.290569135,10,other,0,3,0,0,bad,bad,bad,bad,bad,bad,neutral
165,83501607,18_25,student,female,education,walk,4_7,0.422911689,10,other,0,2,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral
166,83502462,26_35,student,male,education,moto,4_7,5.21868493,25,convinient,0,3,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral
167,83503152,36_55,state,female,work,moto,4_7,1.354067914,20,convinient,0,3,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral
168,83504567,18_25,student,male,shopping,bus,4_7,2.446386873,15,cost,0,2,0,0,bad,bad,bad,bad,bad,bad,agree
169,83505433,26_35,state,male,work,walk,4_7,0.680892605,10,other,0,5,4,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral
170,83506438,18_25,student,female,education,walk,4_7,0.943748736,12,other,0,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,strongdisagree
171,83507403,18_25,student,female,education,moto,4_7,2.784313622,20,convinient,0,5,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree
172,83508627,18_25,student,female,education,walk,4_7,0.768489278,15,other,0,2,0,0,neutral,neutral,neutral,neutral,neutral,neutral,strongagree
173,83857944,26_35,private,female,work,moto,4_7,4.373645025,10,convinient,0,3,0,0,verybad,verybad,verybad,verybad,verybad,verybad,disagree
174,83627693,18_25,student,male,education,moto,4_7,1.163815627,10,convinient,0,2,1,0,verybad,verybad,verybad,bad,verybad,verybad,agree
175,83634687,18_25,student,male,work,moto,4_7,13.02659527,50,convinient,0,2,0,0,neutral,bad,neutral,good,neutral,neutral,neutral
176,83639103,18_25,student,male,education,moto,4_7,0.648330373,10,convinient,0,2,0,0,bad,bad,neutral,bad,bad,bad,disagree
177,83640879,36_55,state,male,work,car,4_7,2.867265819,15,convinient,2,1,0,0,bad,bad,bad,neutral,bad,bad,strongagree
178,83643261,26_35,private,female,work,moto,4_7,4.807971385,20,convinient,0,2,0,0,bad,bad,neutral,bad,bad,bad,disagree
179,83644958,36_55,retired,female,caring,moto,4_7,2.712786523,15,convinient,0,3,1,1,verybad,bad,neutral,good,bad,bad,neutral
180,83646298,18_25,student,male,work,moto,4_7,1.038287105,10,convinient,0,1,0,0,verybad,verybad,neutral,neutral,verybad,verybad,agree
181,83646965,26_35,student,male,education,walk,4_7,0.516759421,15,other,0,1,0,0,good,good,good,good,good,good,agree
182,83647618,18_25,private,female,work,moto,1_3,1.198248816,7,convinient,0,2,0,0,verybad,bad,neutral,bad,bad,bad,neutral
183,83648239,36_55,private,female,education,moto,4_7,2.138989064,15,other,0,2,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree
184,83649034,18_25,student,female,education,walk,4_7,0.548050502,5,other,0,2,0,0,bad,bad,bad,bad,neutral,neutral,strongagree
185,83649372,26_35,state,male,work,moto,4_7,3.776150195,12,convinient,1,2,0,0,bad,bad,neutral,neutral,bad,bad,strongagree
186,83650942,18_25,student,male,education,walk,4_7,0.371823624,15,convinient other,0,2,0,0,bad,bad,bad,neutral,neutral,neutral,disagree
187,83651290,18_25,student,male,education,ebike,4_7,0.301135894,5,convinient,0,0,1,0,neutral,neutral,good,good,neutral,neutral,strongdisagree
188,83652020,18_25,student,female,education,moto,4_7,1.617361428,10,convinient timesaving,0,2,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree
189,83652883,18_25,student,male,education,moto,4_7,2.57185889,15,other,0,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral
190,83653049,18_25,student,male,education,moto,4_7,1.456253829,7,cost convinient,1,3,0,1,neutral,bad,neutral,verygood,neutral,verybad,agree
191,83654352,18_25,student,female,education,walk,4_7,0.206086298,5,other,0,0,0,0,bad,bad,neutral,good,bad,bad,disagree
192,83655191,26_35,student,male,education,moto,4_7,13.71673505,50,cost,0,3,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree
193,83655837,56_75,retired,male,education,walk,4_7,0.25411449,4,convinient,1,3,0,1,verybad,verybad,neutral,neutral,verybad,verybad,strongagree
194,83656326,26_35,state,female,work,moto,4_7,6.625796672,20,convinient,1,1,0,0,bad,bad,bad,bad,bad,bad,disagree
195,83657481,36_55,private,male,work,moto,4_7,0.88393439,10,convinient timesaving,1,2,0,0,bad,bad,bad,bad,bad,bad,disagree
196,83657572,36_55,private,male,leisure,moto,4_7,1.010558083,5,convinient,0,2,0,0,verybad,neutral,neutral,good,neutral,neutral,neutral
197,83659016,26_35,state,female,work,moto,4_7,2.096847107,12,convinient,0,2,1,0,verybad,bad,bad,neutral,bad,bad,neutral
198,83660615,18_25,student,female,education,moto,4_7,2.123534479,7,convinient,0,2,1,0,neutral,neutral,good,good,neutral,neutral,neutral
199,83662108,26_35,state,male,work,moto,4_7,3.123949039,15,convinient timesaving,0,2,0,0,verybad,bad,neutral,neutral,verybad,verybad,neutral
200,83663078,18_25,retired,male,education,moto,4_7,2.207475985,10,convinient,0,2,0,0,neutral,neutral,good,good,neutral,neutral,disagree
201,83663486,26_35,fdi,male,work,moto,4_7,3.972424233,18,convinient,0,2,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree
